sample_id,regime,decode_mode,sample_path,window,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,125.0,bounded,0,7410,ok,1217.411,11215.0,79.832,253.6,0.445,0.174,0.148,0.008,0.148,0.007
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,75.0,identity,0,7410,ok,331.534,2491.5,97.664,185.0,0.388,0.255,0.148,0.008,0.153,0.0
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,100.0,identity,0,7410,ok,239.732,1121.55,89.064,159.0,0.388,0.212,0.148,0.008,0.153,0.005
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,125.0,identity,0,7410,ok,173.415,527.0,79.303,134.0,0.388,0.205,0.148,0.008,0.153,0.007
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,75.0,bounded,0,2129,ok,53.28,253.0,52.0,194.0,0.195,0.2,0.0,0.007,0.0,0.006
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,100.0,bounded,0,2129,ok,40.182,179.0,47.576,169.0,0.195,0.164,0.0,0.007,0.0,0.006
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,125.0,bounded,0,2129,ok,31.121,150.0,42.334,143.65,0.195,0.152,0.0,0.007,0.0,0.006
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,75.0,identity,0,2129,ok,55.721,272.2,52.309,194.0,0.193,0.203,0.0,0.007,0.0,0.009
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,100.0,identity,0,2129,ok,40.667,181.8,47.77,168.0,0.192,0.166,0.0,0.007,0.0,0.008
entry_20260426_s2_best,entry_bridge_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260426/raw_can_logs/toyota_all_20260426_045606_007.ndjson,abs:1777179519494.0->abs:1777179579494.0,125.0,identity,0,2129,ok,30.466,150.0,42.386,143.0,0.192,0.153,0.0,0.007,0.0,0.008
